,OUTSTANDING_BALANCE_0,OUTSTANDING_BALANCE_100,OUTSTANDING_BALANCE_1000,OUTSTANDING_BALANCE_10000,OUTSTANDING_INVENTORY_0,OUTSTANDING_INVENTORY_100,OUTSTANDING_INVENTORY_1000,OUTSTANDING_INVENTORY_10000
2017-05-26 09:30:00.100,10000,10000,10000,10000,0,0,0,0
2017-05-26 09:31:01.900,20000,,,,-583.0903790087464,,,
2017-05-26 09:31:02.900,,,20000,,,,-583.0903790087464,
2017-05-26 09:31:03.900,,,,,,,,
2017-05-26 09:31:04.900,,,,,,,,
2017-05-26 09:31:05.900,,,,,,,,
2017-05-26 09:31:06.900,,,,,,,,
2017-05-26 09:31:07.900,,,,,,,,
2017-05-26 09:31:08.900,,,,,,,,
2017-05-26 09:31:09.900,,,,,,,,
2017-05-26 09:31:10.900,,,,,,,,
2017-05-26 09:31:11.900,,,,20000,,,,-583.0903790087464
2017-05-26 09:31:12.900,,,,,,,,
2017-05-26 09:31:13.900,,,,,,,,
2017-05-26 09:31:14.900,,,,,,,,
2017-05-26 09:31:15.900,,,,,,,,
2017-05-26 09:31:16.900,,,,,,,,
2017-05-26 09:31:17.900,,,,,,,,
2017-05-26 09:31:18.900,,,,,,,,
2017-05-26 09:31:19.900,,,,,,,,
2017-05-26 09:31:20.900,,,,,,,,
2017-05-26 09:31:21.900,,,,,,,,
2017-05-26 09:31:22.900,,,,,,,,
2017-05-26 09:31:23.900,,,,,,,,
2017-05-26 09:31:24.900,,,,,,,,
2017-05-26 09:31:25.900,,,,,,,,
2017-05-26 09:31:26.900,,,,,,,,
2017-05-26 09:31:27.900,,,,,,,,
2017-05-26 09:31:28.900,,,,,,,,
2017-05-26 09:31:29.900,,,,,,,,
2017-05-26 09:31:30.900,,,,,,,,
2017-05-26 09:31:31.900,,,,,,,,
2017-05-26 09:31:32.900,,,,,,,,
2017-05-26 09:31:38.900,9795.918367346938,,,,0,,,
2017-05-26 09:31:39.900,0,,9795.918367346938,,559.7667638483964,,0,
2017-05-26 09:31:40.900,,,0,,,,559.7667638483964,
2017-05-26 09:31:41.900,,,,,,,,
2017-05-26 09:31:42.900,,,,,,,,
2017-05-26 09:31:43.900,,,,,,,,
2017-05-26 09:31:44.900,,,,,,,,
2017-05-26 09:31:45.900,,,,,,,,
2017-05-26 09:31:46.900,,,,,,,,
2017-05-26 09:31:47.900,,,,,,,,
2017-05-26 09:31:48.900,,,,9795.918367346938,,,,0
2017-05-26 09:31:49.900,,,,0,,,,559.7667638483964
2017-05-26 09:31:50.900,,,,,,,,
2017-05-26 09:31:51.900,,,,,,,,
2017-05-26 09:31:52.900,,,,,,,,
2017-05-26 09:31:53.900,,,,,,,,
2017-05-26 09:31:54.900,,,,,,,,
2017-05-26 09:31:55.900,,,,,,,,
2017-05-26 09:31:56.900,,,,,,,,
2017-05-26 09:31:57.900,,,,,,,,
2017-05-26 09:31:58.900,,,,,,,,
2017-05-26 09:31:59.900,,,,,,,,
2017-05-26 09:32:00.900,,,,,,,,
2017-05-26 09:32:01.900,,,,,,,,
2017-05-26 09:32:02.900,,,,,,,,
2017-05-26 09:32:05.900,9599.999999999998,,,,0,,,
2017-05-26 09:32:06.900,19199.999999999996,,9599.999999999998,,-559.7667638483964,,0,
2017-05-26 09:32:07.900,,,19199.999999999996,,,,-559.7667638483964,
2017-05-26 09:32:08.900,,,,,,,,
2017-05-26 09:32:09.900,,,,,,,,
2017-05-26 09:32:10.900,,,,,,,,
2017-05-26 09:32:11.900,,,,,,,,
2017-05-26 09:32:12.900,,,,,,,,
2017-05-26 09:32:13.900,,,,,,,,
2017-05-26 09:32:14.900,,,,,,,,
2017-05-26 09:32:15.900,,,,9599.999999999998,,,,0
2017-05-26 09:32:16.900,,,,19199.999999999996,,,,-559.7667638483964
2017-05-26 09:32:17.900,,,,,,,,
2017-05-26 09:32:18.900,,,,,,,,
2017-05-26 09:32:19.900,,,,,,,,
2017-05-26 09:32:20.900,,,,,,,,
2017-05-26 09:32:21.900,,,,,,,,
2017-05-26 09:32:22.900,,,,,,,,
2017-05-26 09:32:23.900,,,,,,,,
2017-05-26 09:32:24.900,,,,,,,,
2017-05-26 09:32:25.900,,,,,,,,
2017-05-26 09:32:26.900,,,,,,,,
2017-05-26 09:32:27.900,,,,,,,,
2017-05-26 09:32:28.900,,,,,,,,
2017-05-26 09:32:29.900,,,,,,,,
2017-05-26 09:32:30.900,,,,,,,,
2017-05-26 09:32:31.900,,,,,,,,
2017-05-26 09:32:32.900,,,,,,,,
2017-05-26 09:32:33.900,,,,,,,,
2017-05-26 09:32:34.900,,,,,,,,
2017-05-26 09:32:35.900,,,,,,,,
2017-05-26 09:32:36.900,,,,,,,,
2017-05-26 09:32:37.900,,,,,,,,
2017-05-26 09:32:38.900,,,,,,,,
2017-05-26 09:32:39.900,,,,,,,,
2017-05-26 09:32:40.900,,,,,,,,
2017-05-26 09:32:41.900,,,,,,,,
2017-05-26 09:32:42.900,,,,,,,,
2017-05-26 09:32:43.900,,,,,,,,
2017-05-26 09:32:44.900,,,,,,,,
2017-05-26 09:32:45.900,,,,,,,,
2017-05-26 09:32:46.900,,,,,,,,
2017-05-26 09:32:47.900,,,,,,,,
2017-05-26 09:32:48.900,,,,,,,,
2017-05-26 09:32:49.900,,,,,,,,
2017-05-26 09:32:50.900,,,,,,,,
2017-05-26 09:32:51.900,,,,,,,,
2017-05-26 09:32:52.900,,,,,,,,
2017-05-26 09:32:53.900,,,,,,,,
2017-05-26 09:32:54.900,,,,,,,,
2017-05-26 09:32:55.900,,,,,,,,
2017-05-26 09:32:56.900,,,,,,,,
2017-05-26 09:32:57.900,,,,,,,,
2017-05-26 09:32:58.900,,,,,,,,
2017-05-26 09:32:59.900,,,,,,,,
2017-05-26 09:33:00.900,,,,,,,,
2017-05-26 09:33:01.900,,,,,,,,
2017-05-26 09:33:02.900,,,,,,,,
2017-05-26 09:33:03.900,,,,,,,,
2017-05-26 09:33:04.900,,,,,,,,
2017-05-26 09:33:05.900,,,,,,,,
2017-05-26 09:33:06.900,,,,,,,,
2017-05-26 09:33:07.900,,,,,,,,
2017-05-26 09:33:08.900,,,,,,,,
2017-05-26 09:33:09.900,,,,,,,,
2017-05-26 09:33:10.900,,,,,,,,
2017-05-26 09:33:11.900,,,,,,,,
2017-05-26 09:33:12.900,,,,,,,,
2017-05-26 09:33:13.900,,,,,,,,
2017-05-26 09:33:14.900,,,,,,,,
2017-05-26 09:33:15.900,,,,,,,,
2017-05-26 09:33:16.900,,,,,,,,
2017-05-26 09:33:17.900,,,,,,,,
2017-05-26 09:33:18.900,,,,,,,,
2017-05-26 09:33:19.900,,,,,,,,
2017-05-26 09:33:20.900,,,,,,,,
2017-05-26 09:33:21.900,,,,,,,,
2017-05-26 09:33:25.900,9488.046647230318,,,,0,,,
2017-05-26 09:33:26.900,0,,9488.046647230318,,546.8614782265313,,0,
2017-05-26 09:33:27.900,,,0,,,,546.8614782265313,
2017-05-26 09:33:28.900,,,,,,,,
2017-05-26 09:33:29.900,,,,,,,,
2017-05-26 09:33:30.900,,,,,,,,
2017-05-26 09:33:31.900,,,,,,,,
2017-05-26 09:33:32.900,,,,,,,,
2017-05-26 09:33:33.900,,,,,,,,
2017-05-26 09:33:34.900,,,,,,,,
2017-05-26 09:33:35.900,,,,9488.046647230318,,,,0
2017-05-26 09:33:36.900,,,,0,,,,546.8614782265313
2017-05-26 09:33:37.900,,,,,,,,
2017-05-26 09:33:38.900,,,,,,,,
2017-05-26 09:33:39.900,,,,,,,,
2017-05-26 09:33:40.900,,,,,,,,
2017-05-26 09:33:41.900,,,,,,,,
2017-05-26 09:33:42.900,,,,,,,,
2017-05-26 09:33:43.900,,,,,,,,
2017-05-26 09:33:44.900,,,,,,,,
2017-05-26 09:33:45.900,,,,,,,,
2017-05-26 09:33:46.900,,,,,,,,
2017-05-26 09:33:47.900,,,,,,,,
2017-05-26 09:33:48.900,,,,,,,,
2017-05-26 09:33:49.900,,,,,,,,
2017-05-26 09:33:50.900,,,,,,,,
2017-05-26 09:33:51.900,,,,,,,,
2017-05-26 09:33:52.900,,,,,,,,
2017-05-26 09:33:53.900,,,,,,,,
2017-05-26 09:33:54.900,,,,,,,,
2017-05-26 09:33:55.900,,,,,,,,
2017-05-26 09:33:56.900,,,,,,,,
2017-05-26 09:33:57.900,,,,,,,,
2017-05-26 09:33:58.900,,,,,,,,
2017-05-26 09:33:59.900,,,,,,,,
2017-05-26 09:34:00.900,,,,,,,,
2017-05-26 09:35:44.900,9378.67435158501,,,,0,,,
2017-05-26 09:35:45.900,18757.34870317002,,9378.67435158501,,-546.8614782265313,,0,
2017-05-26 09:35:46.900,,,18757.34870317002,,,,-546.8614782265313,
2017-05-26 09:35:47.900,,,,,,,,
2017-05-26 09:35:48.900,,,,,,,,
2017-05-26 09:35:49.900,,,,,,,,
2017-05-26 09:35:50.900,,,,,,,,
2017-05-26 09:35:51.900,,,,,,,,
2017-05-26 09:35:52.900,,,,,,,,
2017-05-26 09:35:53.900,,,,,,,,
2017-05-26 09:35:54.900,,,,9378.67435158501,,,,0
2017-05-26 09:35:55.900,,,,18757.34870317002,,,,-546.8614782265313
2017-05-26 09:35:56.900,,,,,,,,
2017-05-26 09:35:57.900,,,,,,,,
2017-05-26 09:35:58.900,,,,,,,,
2017-05-26 09:35:59.900,,,,,,,,
2017-05-26 09:36:00.900,,,,,,,,
2017-05-26 09:36:01.900,,,,,,,,
2017-05-26 09:36:02.900,,,,,,,,
2017-05-26 09:36:03.900,,,,,,,,
2017-05-26 09:36:04.900,,,,,,,,
2017-05-26 09:36:05.900,,,,,,,,
2017-05-26 09:36:06.900,,,,,,,,
2017-05-26 09:36:07.900,,,,,,,,
2017-05-26 09:36:08.900,,,,,,,,
2017-05-26 09:36:09.900,,,,,,,,
2017-05-26 09:36:10.900,,,,,,,,
2017-05-26 09:36:11.900,,,,,,,,
2017-05-26 09:36:12.900,,,,,,,,
2017-05-26 09:36:13.900,,,,,,,,
2017-05-26 09:36:14.900,,,,,,,,
2017-05-26 09:36:15.900,,,,,,,,
2017-05-26 09:36:16.900,,,,,,,,
2017-05-26 09:36:17.900,,,,,,,,
2017-05-26 09:36:18.900,,,,,,,,
2017-05-26 09:36:19.900,,,,,,,,
2017-05-26 09:36:20.900,,,,,,,,
2017-05-26 09:36:21.900,,,,,,,,
2017-05-26 09:36:22.900,,,,,,,,
2017-05-26 09:36:23.900,,,,,,,,
2017-05-26 09:36:24.900,,,,,,,,
2017-05-26 09:36:25.900,,,,,,,,
2017-05-26 09:36:26.900,,,,,,,,
