Time,TIME,SIGNAL
2013-05-26 14:09:06,2013-05-26 14:09:06.900,1.0
2013-05-26 14:09:07,2013-05-26 14:09:07.900,1.0
2013-05-26 14:09:08,2013-05-26 14:09:08.900,1.0
2013-05-26 14:09:09,2013-05-26 14:09:09.900,1.0
2013-05-26 14:09:10,2013-05-26 14:09:10.900,1.0
2013-05-26 14:09:11,2013-05-26 14:09:11.900,1.0
2013-05-26 14:09:12,2013-05-26 14:09:12.900,1.0
2013-05-26 14:09:13,2013-05-26 14:09:13.900,1.0
2013-05-26 14:09:14,2013-05-26 14:09:14.900,1.0
2013-05-26 14:09:15,2013-05-26 14:09:15.900,1.0
2013-05-26 14:09:16,2013-05-26 14:09:16.900,1.0
2013-05-26 14:09:17,2013-05-26 14:09:17.900,1.0
2013-05-26 14:09:18,2013-05-26 14:09:18.900,1.0
2013-05-26 14:09:19,2013-05-26 14:09:19.900,1.0
2013-05-26 14:09:20,2013-05-26 14:09:20.900,1.0
2013-05-26 14:09:21,2013-05-26 14:09:21.900,1.0
2013-05-26 14:09:22,2013-05-26 14:09:22.900,1.0
2013-05-26 14:09:23,2013-05-26 14:09:23.900,1.0
2013-05-26 14:09:24,2013-05-26 14:09:24.900,1.0
2013-05-26 14:09:25,2013-05-26 14:09:25.900,1.0
2013-05-26 14:09:26,2013-05-26 14:09:26.900,1.0
2013-05-26 14:09:27,2013-05-26 14:09:27.900,1.0
2013-05-26 14:09:28,2013-05-26 14:09:28.900,1.0
2013-05-26 14:09:29,2013-05-26 14:09:29.900,1.0
2013-05-26 14:09:30,2013-05-26 14:09:30.900,1.0
2013-05-26 14:09:31,2013-05-26 14:09:31.900,1.0
2013-05-26 14:09:32,2013-05-26 14:09:32.900,1.0
2013-05-26 14:09:33,2013-05-26 14:09:33.900,1.0
2013-05-26 14:09:34,2013-05-26 14:09:34.900,1.0
2013-05-26 14:09:35,2013-05-26 14:09:35.900,1.0
2013-05-26 14:09:36,2013-05-26 14:09:36.900,1.0
2013-05-26 14:09:37,2013-05-26 14:09:37.900,1.0
2013-05-26 14:09:38,2013-05-26 14:09:38.900,1.0
2013-05-26 14:09:39,2013-05-26 14:09:39.900,1.0
2013-05-26 14:09:40,2013-05-26 14:09:40.900,1.0
2013-05-26 14:09:41,2013-05-26 14:09:41.900,1.0
2013-05-26 14:09:42,2013-05-26 14:09:42.900,1.0
2013-05-26 14:09:43,2013-05-26 14:09:43.900,1.0
2013-05-26 14:09:44,2013-05-26 14:09:44.900,1.0
2013-05-26 14:09:45,2013-05-26 14:09:45.900,1.0
2013-05-26 14:09:46,2013-05-26 14:09:46.900,1.0
2013-05-26 14:09:47,2013-05-26 14:09:47.900,1.0
2013-05-26 14:09:48,2013-05-26 14:09:48.900,1.0
2013-05-26 14:09:49,2013-05-26 14:09:49.900,1.0
2013-05-26 14:09:50,2013-05-26 14:09:50.900,1.0
2013-05-26 14:09:51,2013-05-26 14:09:51.900,1.0
2013-05-26 14:09:52,2013-05-26 14:09:52.900,1.0
2013-05-26 14:09:53,2013-05-26 14:09:53.900,1.0
2013-05-26 14:09:54,2013-05-26 14:09:54.900,1.0
2013-05-26 14:09:55,2013-05-26 14:09:55.900,1.0
2013-05-26 14:09:56,2013-05-26 14:09:56.900,1.0
2013-05-26 14:09:57,2013-05-26 14:09:57.900,1.0
2013-05-26 14:09:58,2013-05-26 14:09:58.900,-1.0
2013-05-26 14:09:59,2013-05-26 14:09:59.900,-1.0
2013-05-26 14:10:00,2013-05-26 14:10:00.900,-1.0
2013-05-26 14:10:01,2013-05-26 14:10:01.900,-1.0
2013-05-26 14:10:02,2013-05-26 14:10:02.900,-1.0
2013-05-26 14:10:03,2013-05-26 14:10:03.900,-1.0
2013-05-26 14:10:04,2013-05-26 14:10:04.900,-1.0
2013-05-26 14:10:05,2013-05-26 14:10:05.900,-1.0
2013-05-26 14:10:06,2013-05-26 14:10:06.900,-1.0
2013-05-26 14:10:07,2013-05-26 14:10:07.900,-1.0
2013-05-26 14:10:08,2013-05-26 14:10:08.900,-1.0
2013-05-26 14:10:09,2013-05-26 14:10:09.900,-1.0
